文化,ぶんか<br><br>(1) culture; civilization; civilisation <br>(2) Bunka era (1804.2.11-1818.4.22),N3 N4
論文,ろんぶん<br><br>thesis; essay; treatise; paper; article,N3 N4
文化財,ぶんかざい<br><br>cultural assets; cultural property,N3 N4
文房具,ぶんぼうぐ<br><br>stationery,N3 N1 N4
文法,ぶんぽう<br><br>grammar; syntax,N3 N4
原文,げんぶん<br><br>the text; original,N3 N4
和文,わぶん<br><br>Japanese text; sentence in Japanese,N3 N4
数字,すうじ<br><br>numeral; figure; digit; numeric character,N3 N4
活字,かつじ<br><br>printing type,N3 N4
当て字,"あてじ<br><br>kanji used as a phonetic symbol, instead of for the meaning; phonetic-equivalent character; substitute character",N3 N4
科学,かがく<br><br>science,N3 N5
学部,"がくぶ<br><br>(1) department of a university <br>(2) undergraduate (course, program, etc.)",N3 N5
化学,かがく<br><br>(1) chemistry <br>(2) chemical company (e.g. Acme Chemical Co.),N3 N5
留学,りゅうがく<br><br>studying abroad (usu. at university level),N3 N5
学科,"がっか<br><br>(1) study subject; course of study <br>(2) department (university, etc.)",N3 N5
法学,ほうがく<br><br>law; jurisprudence,N3 N5
在学,ざいがく<br><br>(enrolled) in school,N3 N5
数学,すうがく<br><br>mathematics; arithmetic,N3 N5
高等学校,こうとうがっこう<br><br>senior high school,N3 N5
学期,がっき<br><br>school term; semester,N3 N5
退学,たいがく<br><br>dropping out of school,N3 N5
社会科学,しゃかいかがく<br><br>social science,N3 N5
自然科学,しぜんかがく<br><br>natural science,N3 N5 N4
学術,がくじゅつ<br><br>science; learning; scholarship,N3 N5
共学,きょうがく<br><br>coeducation,N3 N5
登校,とうこう<br><br>attendance (at school); going to school,N3 N5
校庭,こうてい<br><br>schoolyard; campus,N3 N5
正式,せいしき<br><br>due form; official; formality,N3 N4
正常,せいじょう<br><br>normalcy; normality; normal,N3 N4
正面,しょうめん<br><br>front; frontage; facade; main,N3 N4
正当,せいとう<br><br>just; justifiable; right; due; proper; equitable; reasonable; legitimate; legal; lawful,N3 N4
正直,しょうじき<br><br>(1) honesty; integrity; frankness <br>(2) honestly; frankly,N3 N4
正規,せいき<br><br>egular; normal; legal; formal; established; legitimate,N3 N4
正解,"せいかい<br><br>correct; right; correct interpretation (answer, solution)",N3 N4
正確,せいかく<br><br>accurate; punctual; exact; authentic; veracious,N3 N4
正方形,せいほうけい<br><br>square,N3 N4
水面,すいめん<br><br>water's surface,N3 N5
水泳,すいえい<br><br>swimming,N3 N5
水平,すいへい<br><br>level; horizontality,N3 N5
断水,だんすい<br><br>water outage,N3 N5
水平線,すいへいせん<br><br>horizon (related to sea or lakes),N3 N5 N2
降水,こうすい<br><br>ainfall; precipitation,N3 N5
王様,おうさま<br><br>king,N3
王,おう<br><br>(1) king; ruler; sovereign; monarch <br>(2) king (for senior player) (shogi),N3
国王,こくおう<br><br>king,N3 N5
石油,せきゆ<br><br>oil; petroleum; kerosene,N3 N2
化石,かせき<br><br>fossil; petrifaction; fossilization; fossilisation,N3
石炭,せきたん<br><br>coal,N3 N2
宝石,ほうせき<br><br>gem; jewel; precious stone,N3 N2
磁石,じしゃく<br><br>(1) magnet <br>(2) compass,N3 N1
岩石,がんせき<br><br>ock,N3 N2
石鹸,せっけん<br><br>soap,N0 N3
石,いし<br><br>(1) stone <br>(2) gem; jewel,N3
流石,"さすが<br><br>(1) as one would expect <br>(2) still; all the same <br>(3) even... (e.g. ""even a genius..."")",N3
列車,れっしゃ<br><br>train (ordinary),N3 N5
歯車,はぐるま<br><br>gear; cog-wheel,N3 N5
機関車,きかんしゃ<br><br>locomotive; engine,N3 N5
資金,しきん<br><br>funds; capital,N3 N5
現金,げんきん<br><br>cash; ready money; mercenary; self-interested,N3 N5
残金,ざんきん<br><br>emaining money,N3 N5
雨具,あまぐ<br><br>ain gear,N3 N5
白髪,しらが<br><br>white or grey hair (gray); trendy hair bleaching,N3 N5
告白,こくはく<br><br>(1) confession; acknowledgement; acknowledgment <br>(2) profession of love <br>(3) confession of sins (e.g. the confessional),N3 N5
面白い,おもしろい<br><br>interesting; amusing,N3 N5
白状,はくじょう<br><br>confession,N3 N5
数,かず<br><br>number; amount,N3
少数,しょうすう<br><br>minority; few,N3 N5
複数,ふくすう<br><br>several; plural; plurality; multiple,N3 N2
過半数,かはんすう<br><br>majority,N3 N5
回数,かいすう<br><br>number of times; frequency; count,N3 N4
点数,てんすう<br><br>marks; points; score; runs; number of items; credits,N3
無数,むすう<br><br>countless number; infinite number; innumerable,N3 N2
枚数,まいすう<br><br>(1) the number of flat things <br>(2) win-loss difference which influences the ranking of sumo wrestlers,N3 N2
算数,さんすう<br><br>arithmetic,N3 N2
数える,かぞえる<br><br>to count; to enumerate,N3
回数券,かいすうけん<br><br>ook of tickets,N2 N3 N4
多数決,たすうけつ<br><br>majority rule,N3 N5
偶数,ぐうすう<br><br>even number,N3
奇数,きすう<br><br>odd number,N3 N1
